Source Port,Target Port,Traveltime
Chongqing,Gaogang,182.55198558666768
Zhenjiang,Nanjing,8.658008658008658
Nanjing,Zhenjiang,3.853564547206166
Zhenjiang,Ma'anshan,13.636363636363637
Ma'anshan,Zhenjiang,6.069364161849712
Zhenjiang,Wuhu,18.29004329004329
Wuhu,Zhenjiang,8.140655105973025
Zhenjiang,Hefei,32.79220779220779
Hefei,Zhenjiang,14.595375722543356
Zhenjiang,Tongling,28.463203463203463
Tongling,Zhenjiang,12.668593448940271
Zhenjiang,Chizhou,32.79220779220779
Chizhou,Zhenjiang,14.595375722543356
Zhenjiang,Anqing,39.069264069264065
Anqing,Zhenjiang,17.389210019267825
Zhenjiang,Jiujiang,55.62770562770562
Jiujiang,Zhenjiang,24.759152215799613
Zhenjiang,Nanchang,73.37662337662337
Nanchang,Zhenjiang,32.65895953757226
Zhenjiang,Huangshi,68.18181818181817
Huangshi,Zhenjiang,30.34682080924856
Zhenjiang,Huanggang,71.64502164502164
Huanggang,Zhenjiang,31.888246628131025
Zhenjiang,Wuhan,82.14285714285714
Wuhan,Zhenjiang,36.5606936416185
Zhenjiang,Jiayu,95.88744588744588
Jiayu,Zhenjiang,42.678227360308284
Zhenjiang,Honghu,100.75757575757575
Honghu,Zhenjiang,44.845857418111756
Zhenjiang,Chenglingji,106.81818181818181
Chenglingji,Zhenjiang,47.54335260115607
Zhenjiang,Changsha,117.94534944823963
Changsha,Zhenjiang,72.54335260115607
Zhenjiang,Jingzhou,125.89332632685233
Jingzhou,Zhenjiang,90.40049545829893
Zhenjiang,Yichang,133.9376423191452
Yichang,Zhenjiang,108.474088531892
Zhenjiang,Chongqing,165.72954983359608
Chongqing,Zhenjiang,179.90265996046344
Nanjing,Ma'anshan,4.978354978354978
Ma'anshan,Nanjing,2.2157996146435455
Nanjing,Wuhu,9.632034632034632
Wuhu,Nanjing,4.2870905587668595
Nanjing,Hefei,24.134199134199136
Hefei,Nanjing,10.741811175337189
Nanjing,Tongling,19.805194805194805
Tongling,Nanjing,8.815028901734106
Nanjing,Chizhou,24.134199134199136
Chizhou,Nanjing,10.741811175337189
Nanjing,Anqing,30.41125541125541
Anqing,Nanjing,13.53564547206166
Nanjing,Jiujiang,46.96969696969697
Jiujiang,Nanjing,20.905587668593448
Nanjing,Nanchang,64.71861471861472
Nanchang,Nanjing,28.80539499036609
Nanjing,Huangshi,59.52380952380952
Huangshi,Nanjing,26.493256262042394
Nanjing,Huanggang,62.98701298701298
Huanggang,Nanjing,28.03468208092486
Nanjing,Wuhan,73.48484848484848
Wuhan,Nanjing,32.70712909441233
Nanjing,Jiayu,87.22943722943722
Jiayu,Nanjing,38.824662813102115
Nanjing,Honghu,92.0995670995671
Honghu,Nanjing,40.99229287090559
Nanjing,Chenglingji,98.16017316017316
Chenglingji,Nanjing,43.689788053949904
Nanjing,Changsha,109.28734079023096
Changsha,Nanjing,68.68978805394991
Nanjing,Jingzhou,117.23531766884368
Jingzhou,Nanjing,86.54693091109277
Nanjing,Yichang,125.27963366113654
Yichang,Nanjing,104.62052398468583
Nanjing,Chongqing,157.0715411755874
Chongqing,Nanjing,176.04909541325728
Ma'anshan,Wuhu,4.653679653679654
Wuhu,Ma'anshan,2.071290944123314
Ma'anshan,Hefei,19.155844155844157
Hefei,Ma'anshan,8.526011560693643
Ma'anshan,Tongling,14.826839826839826
Tongling,Ma'anshan,6.59922928709056
Ma'anshan,Chizhou,19.155844155844157
Chizhou,Ma'anshan,8.526011560693643
Ma'anshan,Anqing,25.432900432900432
Anqing,Ma'anshan,11.319845857418114
Ma'anshan,Jiujiang,41.99134199134199
Jiujiang,Ma'anshan,18.689788053949904
Ma'anshan,Nanchang,59.74025974025974
Nanchang,Ma'anshan,26.589595375722546
Ma'anshan,Huangshi,54.54545454545455
Huangshi,Ma'anshan,24.27745664739885
Ma'anshan,Huanggang,58.00865800865801
Huanggang,Ma'anshan,25.818882466281316
Ma'anshan,Wuhan,68.50649350649351
Wuhan,Ma'anshan,30.491329479768787
Ma'anshan,Jiayu,82.25108225108225
Jiayu,Ma'anshan,36.60886319845857
Ma'anshan,Honghu,87.12121212121212
Honghu,Ma'anshan,38.77649325626204
Ma'anshan,Chenglingji,93.18181818181819
Chenglingji,Ma'anshan,41.47398843930636
Ma'anshan,Changsha,104.308985811876
Changsha,Ma'anshan,66.47398843930637
Ma'anshan,Jingzhou,112.2569626904887
Jingzhou,Ma'anshan,84.33113129644923
Ma'anshan,Yichang,120.30127868278157
Yichang,Ma'anshan,102.40472437004229
Ma'anshan,Chongqing,152.09318619723246
Chongqing,Ma'anshan,173.83329579861373
Wuhu,Hefei,14.502164502164502
Hefei,Wuhu,6.454720616570328
Wuhu,Tongling,10.173160173160174
Tongling,Wuhu,4.5279383429672455
Wuhu,Chizhou,14.502164502164502
Chizhou,Wuhu,6.454720616570329
Wuhu,Anqing,20.77922077922078
Anqing,Wuhu,9.2485549132948
Wuhu,Jiujiang,37.33766233766234
Jiujiang,Wuhu,16.618497109826592
Wuhu,Nanchang,55.086580086580085
Nanchang,Wuhu,24.518304431599233
Wuhu,Huangshi,49.89177489177489
Huangshi,Wuhu,22.206165703275534
Wuhu,Huanggang,53.35497835497835
Huanggang,Wuhu,23.747591522158
Wuhu,Wuhan,63.852813852813846
Wuhan,Wuhu,28.420038535645475
Wuhu,Jiayu,77.59740259740259
Jiayu,Wuhu,34.53757225433526
Wuhu,Honghu,82.46753246753246
Honghu,Wuhu,36.70520231213873
Wuhu,Chenglingji,88.52813852813853
Chenglingji,Wuhu,39.40269749518305
Wuhu,Changsha,99.65530615819634
Changsha,Wuhu,64.40269749518305
Wuhu,Jingzhou,107.60328303680905
Jingzhou,Wuhu,82.25984035232591
Wuhu,Yichang,115.64759902910191
Yichang,Wuhu,100.33343342591897
Wuhu,Chongqing,147.4395065435528
Chongqing,Wuhu,171.7620048544904
Hefei,Tongling,16.6278807897305
Tongling,Hefei,19.030102845131747
Hefei,Chizhou,20.95688511873483
Chizhou,Hefei,20.95688511873483
Hefei,Anqing,27.233941395791106
Anqing,Hefei,23.7507194154593
Hefei,Jiujiang,43.792382954232664
Jiujiang,Hefei,31.120661611991096
